编号,longitude,latitude,最近邻距离_m
A8113,108.4908,30.5867,2053.4383484426085
A8114,108.3356,30.7683,5399.7627616043455
A8115,108.4786,30.9003,1774.1360456453622
A8116,108.8194,30.5469,4651.913925566481
A8117,108.2897,30.4361,5264.167785623661
A8118,108.355,30.5558,4955.025099059575
A8120,108.3308,30.5994,517.4542082015248
A8121,108.3261,30.6017,517.4542082015248
A8213,108.3961,30.6536,3140.5989730321144
A8214,108.4386,30.6703,647.3259936746039
A8215,108.4414,30.665,647.3259936746039
A8216,108.3742,30.6819,987.0954010110967
A8217,108.3642,30.6797,769.1637085432336
A8218,108.3622,30.6864,769.1637085432336
A8219,108.1714,30.8142,4318.609282309159
A8499,108.4642,30.8211,3104.866818194486
A8577,108.5781,30.6436,2501.0215822984596
A8578,108.2256,30.7169,4776.535693183179
A8579,108.7356,30.5744,3595.8028557313482
A8580,107.9514,30.7303,6264.601218803486
A8581,108.2442,30.8658,3751.7681696068967
A8582,108.5792,30.7053,3577.222427663251
A8583,108.7078,30.7706,4246.426734672458
A8584,108.3681,30.8414,1347.9332895854
A8585,108.3836,30.8256,1723.5774035624754
A8586,108.5428,30.5817,5008.691826787085
A8996,108.0533,30.8358,4507.833296316479
A8997,108.1942,30.6533,1770.5396562120204
A8998,108.2964,30.8228,1320.9318787991047
A8999,108.2892,30.5681,2077.448195102537
A9005,108.3944,30.7622,3245.226316781147
A9006,108.5208,30.9242,2422.782014725304
A9007,108.3586,30.875,1784.4394393350833
A9008,108.4769,30.7567,1248.4682661705765
A9009,108.0817,30.7206,3037.7305140810436
A9014,108.3483,30.7133,3273.0986719448274
A9032,108.7719,30.5661,3595.8028557313482
A9033,108.2969,30.8072,707.91651443008
A9036,108.5439,30.8078,6539.220693664877
A9037,108.7042,30.6358,5402.674616308809
A9272,108.315,30.6114,1513.889793142989
A9273,108.3033,30.5539,2077.448195102537
A9274,108.3019,30.8119,707.91651443008
A9275,108.4114,30.8644,888.3221144150673
A9276,108.4694,30.7894,797.8149495930905
A9277,108.2647,30.5675,2346.6261813007586
A9278,108.4897,30.8875,1774.1360456453622
A9279,108.4611,30.7886,797.8149495930905
A9280,108.3228,30.8156,2037.8771637792518
A9281,108.4486,30.8456,2924.566769954579
A9282,108.6394,30.8619,5002.3189148997435
A9283,108.4278,30.7675,723.9164333303837
A9284,108.3661,30.8294,1347.9332895854
A9285,108.5897,30.8939,1008.4318298785075
A9286,108.3511,30.8603,1784.4394393350833
A9287,108.2103,30.7944,4318.609282309159
A9288,108.3875,30.8575,1674.921427637972
A9289,108.405,30.8586,888.3221144150673
A9290,108.4489,30.8719,2924.566769954579
A9743,108.2078,30.6425,1770.5396562120204
57522,107.2728,29.7364,4003.2033375399483
A7011,107.395,29.7128,2772.8147860173904
A7040,107.25,29.5833,3999.0214619028493
A7041,107.5667,29.6,8540.550061186423
A7096,107.0667,29.6667,3217.1284530215166
A7097,107.0667,29.4833,6195.434148912105
A7186,107.3075,29.7167,4003.2033375399483
A7187,107.35,29.88,4269.889342759235
A7188,107.4833,29.55,5704.5787091650245
A7264,107.5256,29.7525,5583.279369498502
A7265,107.5422,29.8006,4965.365099735201
A7266,107.5375,29.8606,2117.323125399038
A7267,107.2194,29.7803,3290.775577846273
A7268,107.1522,29.7147,1299.1422160949705
A7269,107.1783,29.5011,4305.871480519017
A7270,107.4283,29.7886,4807.872850703557
A7271,107.3744,29.5658,5635.630528799449
A7509,107.1919,29.7978,3290.775577846273
A7510,107.0986,29.435,6195.434148912105
A7511,106.9547,29.5208,2986.258524206441
A7512,107.1411,29.7081,1299.1422160949705
A7513,107.5994,29.7153,7540.5003739206495
A7514,107.3131,29.5197,5485.645255091381
A7515,107.5383,29.9247,6777.10473087658
A7516,107.4761,29.8008,4244.8657430525245
