row_off,col_off,width,height,label,filename,longitude,latitude,pred_prob,decayed_prob,piecewise_decay,P_final,gaussian_decay,P_final_gauss_sub
8000,3520,64,64,0,patch_r8000_c3520_lbl0.tif,106.40797378066958,30.103721892825,0.9776855,0.2931148512985292,0.0,0.9776855,1.9580189288295574e-05,0.9776659198107117
8000,7232,64,64,0,patch_r8000_c7232_lbl0.tif,107.5771606396961,30.08380561664839,0.9361553,0.2801365295721633,0.0,0.9361553,1.9251565750616598e-05,0.9361360484342494
8000,7936,64,64,0,patch_r8000_c7936_lbl0.tif,107.79883221918196,30.078710337105534,0.914378,0.12688005044072012,0.0,0.914378,1.9091905192147974e-08,0.9143779809080949
8000,8000,64,64,0,patch_r8000_c8000_lbl0.tif,107.8189828301206,30.07822629704035,0.9567438,0.0899921213293559,0.0,0.9567438,5.77042011831306e-10,0.9567437994229581
8000,8064,64,64,0,patch_r8000_c8064_lbl0.tif,107.8391332087422,30.07773878504861,0.9160928,0.12709733582981192,0.0,0.9160928,1.906399574998014e-08,0.9160927809360043
8000,8128,64,64,0,patch_r8000_c8128_lbl0.tif,107.85928335339068,30.077247801180512,0.90064406,0.26947454374310464,0.0,0.90064406,1.9228725436185447e-05,0.9006248312745638
8064,1088,64,64,0,patch_r8064_c1088_lbl0.tif,105.64159243609224,30.093323828358784,0.98991966,0.22468227569811217,0.0,0.98991966,1.599745812657595e-06,0.9899180602541873
8064,1152,64,64,0,patch_r8064_c1152_lbl0.tif,105.66175422129557,30.093211518974787,0.99151987,0.24890138776928789,0.0,0.99151987,3.961336767506857e-06,0.9915159086632325
8064,1984,64,64,0,patch_r8064_c1984_lbl0.tif,105.92385185664392,30.09143530845126,0.9857108,0.29519521421416384,0.0,0.9857108,1.9386859607154525e-05,0.9856914131403929
8064,2688,64,64,0,patch_r8064_c2688_lbl0.tif,106.14561686725835,30.089473730496792,0.9603948,0.2540374360554236,0.0,0.9603948,6.343490624522499e-06,0.9603884565093754
8064,2752,64,64,0,patch_r8064_c2752_lbl0.tif,106.16577678912996,30.08927455925044,0.9838021,0.24697011801487134,0.0,0.9838021,3.962220765206586e-06,0.9837981377792349
8064,3456,64,64,0,patch_r8064_c3456_lbl0.tif,106.38752921880062,30.08685438019285,0.9761338,0.2450477251749066,0.0,0.9761338,3.962603406038207e-06,0.976129837396594
8064,3520,64,64,0,patch_r8064_c3520_lbl0.tif,106.40768787730536,30.08661351947401,0.9886897,0.14165693702419596,0.0,0.9886897,2.5470324757450207e-08,0.9886896745296753
8064,3584,64,64,0,patch_r8064_c3584_lbl0.tif,106.42784641973029,30.08636918478561,0.9946576,0.2257573866487763,0.0,0.9946576,1.599729213126301e-06,0.9946560002707869
8064,7168,64,64,0,patch_r8064_c7168_lbl0.tif,107.55648830381756,30.06714291698166,0.92542344,0.20972839205786067,0.0,0.92542344,1.5782729835441388e-06,0.9254218617270165
8064,7232,64,64,0,patch_r8064_c7232_lbl0.tif,107.57663748593794,30.066700618764237,0.94302595,0.13472465168416656,0.0,0.94302595,2.481677959634112e-08,0.9430259251832204
8064,7296,64,64,0,patch_r8064_c7296_lbl0.tif,107.59678645575268,30.066254848631424,0.94266593,0.2136791714249109,0.0,0.94266593,1.5811421335230865e-06,0.9426643488578664
8064,7360,64,64,0,patch_r8064_c7360_lbl0.tif,107.61693521160537,30.065805606629088,0.90088713,0.23832419245725037,0.0,0.90088713,6.350043721805657e-06,0.9008807799562781
8064,7424,64,64,0,patch_r8064_c7424_lbl0.tif,107.63708375183964,30.06535289280364,0.95861304,0.24068241125496043,0.0,0.95861304,3.967508382359439e-06,0.9586090724916176
8064,7936,64,64,0,patch_r8064_c7936_lbl0.tif,107.79826411272816,30.061606202237925,0.9592224,0.20756198309985616,0.0,0.9592224,1.0408744850257468e-06,0.959221359125515
8064,8000,64,64,0,patch_r8064_c8000_lbl0.tif,107.81841063788008,30.06112224414584,0.95384043,0.13676498564877776,0.0,0.95384043,2.5640504107627644e-08,0.9538404043594959
8064,8064,64,64,0,patch_r8064_c8064_lbl0.tif,107.83855693085638,30.06063481471313,0.9361153,0.21254205499479104,0.0,0.9361153,1.6046152409317982e-06,0.9361136953847591
8128,1984,64,64,0,patch_r8128_c1984_lbl0.tif,105.92366428292256,30.074325543736983,0.9755786,0.292165362718214,0.0,0.9755786,1.9389537319627306e-05,0.9755592104626803
8128,2048,64,64,0,patch_r8128_c2048_lbl0.tif,105.94382105979798,30.07416461773853,0.95197666,0.2159293637846816,0.0,0.95197666,1.5903766373354737e-06,0.9519750696233626
8128,2112,64,64,0,patch_r8128_c2112_lbl0.tif,105.96397775886192,30.074000217877824,0.9506283,0.2515015756624883,0.0,0.9506283,6.354285343188286e-06,0.9506219457146567
8128,3456,64,64,0,patch_r8128_c3456_lbl0.tif,106.38724752303214,30.069745391843536,0.9881969,0.21411205282337917,0.0,0.9881969,1.0532227435243152e-06,0.9881958467772565
8128,3520,64,64,0,patch_r8128_c3520_lbl0.tif,106.40740209002094,30.069504571940207,0.9826292,0.2945966229906395,0.0,0.9826292,1.957996586577413e-05,0.9826096200341342
8128,7232,64,64,0,patch_r8128_c7232_lbl0.tif,107.57611454448543,30.04959504389235,0.9468399,0.2833408381825392,0.0,0.9468399,1.9255866580112825e-05,0.9468206441334198
8128,7296,64,64,0,patch_r8128_c7296_lbl0.tif,107.59625942868136,30.049149349221107,0.9704333,0.22030432476746015,0.0,0.9704333,1.6026812090785687e-06,0.970431697318791
8128,7360,64,64,0,patch_r8128_c7360_lbl0.tif,107.61640409904538,30.04870018326634,0.9518112,0.2517058956110763,0.0,0.9518112,6.329658251418391e-06,0.9518048703417485
8128,7424,64,64,0,patch_r8128_c7424_lbl0.tif,107.63654855392222,30.048247546074347,0.9843593,0.22305931503417784,0.0,0.9843593,1.5766380456079966e-06,0.9843577233619545
8128,7936,64,64,0,patch_r8128_c7936_lbl0.tif,107.7976962367948,30.04450148966561,0.9833686,0.24692196130294575,0.0,0.9833686,3.970992526630711e-06,0.9833646290074735
8128,8000,64,64,0,patch_r8128_c8000_lbl0.tif,107.81783867781527,30.04401761347846,0.9702763,0.29108116875003853,0.0,0.9702763,1.9694142608539708e-05,0.9702566058573915
8192,2048,64,64,0,patch_r8192_c2048_lbl0.tif,105.9436294710258,30.05705430554578,0.95863724,0.2075677485800773,0.0,0.95863724,1.046868022657197e-06,0.9586361931319773
8192,2112,64,64,0,patch_r8192_c2112_lbl0.tif,105.96378207893603,30.056889933531654,0.95616287,0.240068841810734,0.0,0.95616287,3.967746882220768e-06,0.9561589022531177
8192,3392,64,64,0,patch_r8192_c3392_lbl0.tif,106.36681535020024,30.05287313441526,0.9758185,0.2925452731882666,0.0,0.9758185,1.9574261779886277e-05,0.9757989257382201
8192,3456,64,64,0,patch_r8192_c3456_lbl0.tif,106.3869659416126,30.052635828112106,0.9628841,0.25464594667786394,0.0,0.9628841,6.332305065929838e-06,0.962877767694934
8192,7936,64,64,0,patch_r8192_c7936_lbl0.tif,107.79712859124164,30.02739619815797,0.9657637,0.20941751805729203,0.0,0.9657637,1.0607683983472928e-06,0.9657626392316017
8256,2048,64,64,0,patch_r8256_c2048_lbl0.tif,105.94343796001768,30.039943417360263,0.9673509,0.24289717857504123,0.0,0.9673509,3.970585137052069e-06,0.967346929414863
8256,2112,64,64,0,patch_r8256_c2112_lbl0.tif,105.96358647843452,30.039779073169505,0.9589408,0.21756825680642325,0.0,0.9589408,1.5942811213760415e-06,0.9589392057188787
8256,3328,64,64,0,patch_r8256_c3328_lbl0.tif,106.34639135562828,30.035996747795352,0.9561331,0.2866421153625923,0.0,0.9561331,1.9573292000652757e-05,0.9561135267079993
8256,4864,64,64,0,patch_r8256_c4864_lbl0.tif,106.82987571250383,30.02942740517388,0.9806254,0.2935527542315281,0.0,0.9806254,1.9315972234586225e-05,0.9806060840277654
8256,7872,64,64,0,patch_r8256_c7872_lbl0.tif,107.77642666810932,30.01077056943065,0.9351087,0.2805207067350097,0.0,0.9351087,1.9687671224849285e-05,0.9350890123287752
8256,7936,64,64,0,patch_r8256_c7936_lbl0.tif,107.79656117592856,30.010290326484764,0.9599853,0.2410928734194203,0.0,0.9599853,3.977284989748276e-06,0.9599813227150102
8320,2048,64,64,0,patch_r8320_c2048_lbl0.tif,105.94324652672638,30.02283195194886,0.9581209,0.2871835176303418,0.0,0.9581209,1.953987885921969e-05,0.9581013601211409
8320,3264,64,64,0,patch_r8320_c3264_lbl0.tif,106.32597553613472,30.019116232587518,0.94793236,0.28417707479362314,0.0,0.94793236,1.956925394791656e-05,0.9479127907460521
8320,7936,64,64,0,patch_r8320_c7936_lbl0.tif,107.79599399071556,29.993183873416008,0.9465491,0.28395419174692504,0.0,0.9465491,1.9688613844081212e-05,0.946529411386156
8384,1728,64,64,0,patch_r8384_c1728_lbl0.tif,105.8423523178836,30.00648927813366,0.98025733,0.29357131645210516,0.0,0.98025733,1.9392374020094806e-05,0.98023793762598
8384,1984,64,64,0,patch_r8384_c1984_lbl0.tif,105.92291474907564,30.005880725179715,0.96145505,0.2881760840031043,0.0,0.96145505,1.95357304610665e-05,0.9614355142695389
8384,3264,64,64,0,patch_r8384_c3264_lbl0.tif,106.32570655240062,30.002004816791388,0.97666615,0.29243537475630926,0.0,0.97666615,1.9356340911014258e-05,0.976646793659089
8384,8704,64,64,0,patch_r8384_c8704_lbl0.tif,108.03692484776408,29.970045342318265,0.9293564,0.24566285075542146,0.0,0.9293564,6.305389254563897e-06,0.9293500946107454
8448,1728,64,64,0,patch_r8448_c1728_lbl0.tif,105.84218146316576,29.989376524596256,0.9611846,0.24140847689484252,0.0,0.9611846,3.9794219789662065e-06,0.961180620578021
8448,1792,64,64,0,patch_r8448_c1792_lbl0.tif,105.8623180943658,29.989229618529617,0.96545345,0.2893682118124815,0.0,0.96545345,1.9531897634666057e-05,0.9654339181023653
8448,6400,64,64,0,patch_r8448_c6400_lbl0.tif,107.3118661168849,29.96953196846363,0.9938319,0.22520258781678812,0.0,0.9938319,1.5764331652760336e-06,0.9938303235668348
8448,6464,64,64,0,patch_r8448_c6464_lbl0.tif,107.33199321894676,29.96913174287588,0.9756,0.257960427829971,0.0,0.9756,6.321625612238223e-06,0.9755936783743878
8448,6528,64,64,0,patch_r8448_c6528_lbl0.tif,107.35212012928925,29.968728048361477,0.99197185,0.2622175636782465,0.0,0.99197185,6.306073530070714e-06,0.99196554392647
8448,6592,64,64,0,patch_r8448_c6592_lbl0.tif,107.37224684626077,29.968320884961777,0.9838726,0.2944458801814375,0.0,0.9838726,1.9269435189232552e-05,0.9838533305648107
8448,7232,64,64,0,patch_r8448_c7232_lbl0.tif,107.57350301729012,29.964058471639436,0.96259683,0.28805826597837764,0.0,0.96259683,1.92571800004015e-05,0.9625775728199996
8512,1728,64,64,0,patch_r8512_c1728_lbl0.tif,105.8420106777413,29.972263190243854,0.9679319,0.20978718636243313,0.0,0.9679319,1.0562066607081949e-06,0.9679308437933393
8512,6400,64,64,0,patch_r8512_c6400_lbl0.tif,107.31139744200854,29.952421982787587,0.99102587,0.29722617955410546,0.0,0.99102587,1.964660745498039e-05,0.991006223392545
8512,7296,64,64,0,patch_r8512_c7296_lbl0.tif,107.59310175217416,29.946504165781885,0.9897327,0.29687566542242544,0.0,0.9897327,1.9668854203557872e-05,0.9897130311457965
8576,1728,64,64,0,patch_r8576_c1728_lbl0.tif,105.84183996156806,29.95514927384465,0.96588355,0.24263022615856822,0.0,0.96588355,3.985563641153123e-06,0.9658795644363589
8640,1728,64,64,0,patch_r8640_c1728_lbl0.tif,105.84166931460392,29.938034774167104,0.95374805,0.2067234258641217,0.0,0.95374805,1.0566855507202455e-06,0.9537469933144492
8640,2176,64,64,0,patch_r8640_c2176_lbl0.tif,105.98253847781076,29.93693409874516,0.9761495,0.2923207331693767,0.0,0.9761495,1.938022637097697e-05,0.9761301197736291
8704,1728,64,64,0,patch_r8704_c1728_lbl0.tif,105.84149873680684,29.92091968997997,0.96417445,0.2186217375509809,0.0,0.96417445,1.5855170965028022e-06,0.9641728644829035
8704,2176,64,64,0,patch_r8704_c2176_lbl0.tif,105.9823393540765,29.91981920001049,0.9635889,0.24209652839184226,0.0,0.9635889,3.9918982955316675e-06,0.9635849081017044
8704,7232,64,64,0,patch_r8704_c7232_lbl0.tif,107.57141760388718,29.89561870256927,0.9712812,0.2913311750262984,0.0,0.9712812,1.9662862338407603e-05,0.9712615371376615
8768,2176,64,64,0,patch_r8768_c2176_lbl0.tif,105.98214031103308,29.902703715381108,0.9650977,0.25502998512419645,0.0,0.9650977,6.287484372452906e-06,0.9650914125156275
8896,3968,64,64,0,patch_r8896_c3968_lbl0.tif,106.54471754028138,29.86237258072511,0.9843717,0.29511730707258393,0.0,0.9843717,1.9578935807256133e-05,0.9843521210641927
8960,3968,64,64,0,patch_r8960_c3968_lbl0.tif,106.5444047675556,29.845256355635733,0.99287933,0.22486719590587295,0.0,0.99287933,1.568911323161026e-06,0.9928777610886768
8960,4032,64,64,0,patch_r8960_c4032_lbl0.tif,106.56450532866992,29.844988337737185,0.98969066,0.22419535359067386,0.0,0.98969066,1.5720844004448396e-06,0.9896890879155996
9024,1984,64,64,0,patch_r9024_c1984_lbl0.tif,105.92104622554974,29.834727929622,0.9902879,0.2616634418270807,0.0,0.9902879,6.2824848138084805e-06,0.9902816175151862
9024,4032,64,64,0,patch_r9024_c4032_lbl0.tif,106.5641886147904,29.827871565973386,0.9979436,0.2987727140432478,0.0,0.9979436,1.9336762704235966e-05,0.9979242632372958
9024,4096,64,64,0,patch_r9024_c4096_lbl0.tif,106.5842849799344,29.827600128078476,0.98452383,0.29474711083934996,0.0,0.98452383,1.9332110883094628e-05,0.9845044978891169
9088,1984,64,64,0,patch_r9088_c1984_lbl0.tif,105.92085978923024,29.81760941449563,0.9919743,0.262012501058162,0.0,0.9919743,6.261691471965519e-06,0.991968038308528
9088,2048,64,64,0,patch_r9088_c2048_lbl0.tif,105.94095537196178,29.817448895000933,0.9935359,0.29753050353063526,0.0,0.9935359,1.9382093816033174e-05,0.993516517906184
9088,4096,64,64,0,patch_r9088_c4096_lbl0.tif,106.58396432819345,29.810482808917456,0.95295876,0.2857021399815701,0.0,0.95295876,1.9580488530330744e-05,0.9529391795114697
9152,6528,64,64,0,patch_r9152_c6528_lbl0.tif,107.3468856160466,29.780487322704094,0.95007205,0.2849294672042652,0.0,0.95007205,1.9637960721684588e-05,0.9500524120392783
9216,4672,64,64,0,patch_r9216_c4672_lbl0.tif,106.76407493195528,29.77364883263748,0.9752058,0.25759075429450085,0.0,0.9752058,6.263301054300584e-06,0.9751995366989457
9216,6400,64,64,0,patch_r9216_c6400_lbl0.tif,107.30625452985984,29.7641732711446,0.9755558,0.29256390712145086,0.0,0.9755558,1.9632999876786993e-05,0.9755361670001231
9280,896,64,64,0,patch_r9280_c896_lbl0.tif,105.57887314587094,29.768447857712577,0.9832166,0.25963079740270745,0.0,0.9832166,6.246840815022519e-06,0.9832103531591849
9280,4672,64,64,0,patch_r9280_c4672_lbl0.tif,106.76371812280384,29.756530162058283,0.9429764,0.28229127401388593,0.0,0.9429764,1.932142009776307e-05,0.9429570785799023
9344,3136,64,64,0,patch_r9344_c3136_lbl0.tif,106.28152957554164,29.745712205448385,0.9776424,0.2930579131125117,0.0,0.9776424,1.9553742586701234e-05,0.9776228462574134
9344,4736,64,64,0,patch_r9344_c4736_lbl0.tif,106.78343614099052,29.73910506330432,0.995171,0.2979084107503311,0.0,0.995171,1.9316785364451172e-05,0.9951516832146355
9408,4736,64,64,0,patch_r9408_c4736_lbl0.tif,106.78307556333016,29.72198524613688,0.997561,0.25088281589558054,0.0,0.997561,4.0280176744291905e-06,0.9975569719823256
9472,4736,64,64,0,patch_r9472_c4736_lbl0.tif,106.7827151314289,29.704864828228757,0.9984201,0.25112221771648124,0.0,0.9984201,4.031388630460247e-06,0.9984160686113696
